Freq(MHz)	Sens(dB re. 1V/uPa)	Sens(V/Pa)	Sens(V^2cm^2/W)	Cap(pF)
15	-258.44	1.197E-07	2.15E-04	284.109
15.05	-258.76	1.153E-07	2.00E-04	284.915
15.1	-258.83	1.144E-07	1.96E-04	285.729
15.15	-258.79	1.149E-07	1.98E-04	286.553
15.2	-258.72	1.159E-07	2.02E-04	287.384
15.25	-258.53	1.184E-07	2.10E-04	288.225
15.3	-258.67	1.166E-07	2.04E-04	289.074
15.35	-258.88	1.138E-07	1.94E-04	289.932
15.4	-259.13	1.105E-07	1.83E-04	290.799
15.45	-259.16	1.101E-07	1.82E-04	291.675
15.5	-259.18	1.099E-07	1.81E-04	292.56
15.55	-259.26	1.089E-07	1.78E-04	293.455
15.6	-259.29	1.085E-07	1.77E-04	294.359
15.65	-259.24	1.092E-07	1.79E-04	295.272
15.7	-259.19	1.098E-07	1.81E-04	296.195
15.75	-259.14	1.104E-07	1.83E-04	297.127
15.8	-259.18	1.099E-07	1.81E-04	298.07
15.85	-259.21	1.095E-07	1.80E-04	299.023
15.9	-259.3	1.084E-07	1.76E-04	299.986
15.95	-259.27	1.088E-07	1.78E-04	300.96
16	-259.34	1.079E-07	1.75E-04	301.942
16.05	-259.59	1.049E-07	1.65E-04	302.936
16.1	-259.73	1.031E-07	1.60E-04	303.94
16.15	-259.61	1.046E-07	1.64E-04	304.954
16.2	-259.75	1.029E-07	1.59E-04	305.979
16.25	-260.02	9.980E-08	1.49E-04	307.014
16.3	-260.09	9.896E-08	1.47E-04	308.06
16.35	-259.93	1.008E-07	1.52E-04	309.117
16.4	-259.75	1.029E-07	1.59E-04	310.185
16.45	-259.67	1.039E-07	1.62E-04	311.264
16.5	-259.74	1.030E-07	1.59E-04	312.354
16.55	-259.75	1.029E-07	1.59E-04	313.455
16.6	-259.82	1.020E-07	1.56E-04	314.568
16.65	-259.96	1.005E-07	1.52E-04	315.693
16.7	-260.15	9.828E-08	1.45E-04	316.831
16.75	-260.27	9.694E-08	1.41E-04	317.979
16.8	-260.19	9.780E-08	1.44E-04	319.14
16.85	-260.28	9.685E-08	1.41E-04	320.312
16.9	-260.38	9.573E-08	1.38E-04	321.497
16.95	-260.47	9.478E-08	1.35E-04	322.694
17	-260.44	9.505E-08	1.36E-04	323.903
17.05	-260.29	9.676E-08	1.40E-04	325.124
17.1	-260.39	9.559E-08	1.37E-04	326.358
17.15	-260.55	9.384E-08	1.32E-04	327.605
17.2	-260.56	9.379E-08	1.32E-04	328.864
